#chrom	start	end
hs10	62119660	66320298
hs10	71911615	72150986
hs10	74045425	74132677
hs10	77845636	81075041
hs10	82191174	82210505
hs10	82705008	82900918
hs10	90438397	96074895
hs10	98005140	98037740
hs10	105389790	105517849
hs10	110645020	110654216
hs10	114624956	116633228
hs10	133346930	133627695
hs11	9771053	9810919
hs11	11194443	11200156
hs11	14298041	14300507
hs11	27362178	37238538
hs11	36536921	36557636
hs11	56697712	56708338
hs11	74868804	74897249
hs11	82919727	83408267
hs11	83019199	83867504
hs11	99383912	99404517
hs11	109778210	109785204
hs11	121767770	131291335
hs11	121872042	124708958
hs12	11028447	11088810
hs12	11350315	11398212
hs12	24539337	25170130
hs12	30024594	30040446
hs12	43627476	49465835
hs12	44544150	47985127
hs12	49856213	49858828
hs12	51763158	51763502
hs12	79760921	79769039
hs12	82734165	92053170
hs12	89965732	94016697
hs12	129869778	129876473
hs13	27727457	27736157
hs13	40871768	40872748
hs13	58258868	61909503
hs13	66720467	67403076
hs13	79409509	79416407
hs13	86822661	86987324
hs13	107862169	108186976
hs14	20065428	20117726
hs14	43608765	43970015
hs14	47755770	56251718
hs14	63978019	64645117
hs14	66919031	66929821
hs14	66920029	66950813
hs15	23125282	23321770
hs15	33255913	39131042
hs15	47301343	48202765
hs15	52610439	52613912
hs15	55311214	55365032
hs15	61511975	68872558
hs15	97874098	98202528
hs16	4128783	4140030
hs16	8262647	8557289
hs16	12988715	14609702
hs16	14055594	15338053
hs16	32082558	33083685
hs16	32101661	33082547
hs16	78881787	78996413
hs16	83395531	83404428
hs16	86629531	86665661
hs17	26749676	26947634
hs17	36109416	36187341
hs17	36182408	36195938
hs17	37530402	39332233
hs17	38168453	38231894
hs17	45512138	45520121
hs17	46433389	50842952
hs17	54621825	55070993
hs17	54638384	55488886
hs17	58077920	60592512
hs17	65457511	68506279
hs17	69875935	69884635
hs17	69969891	76294669
hs18	794545	10419027
hs18	1772860	7826498
hs18	2502333	2548495
hs18	5932082	5934528
hs19	5038816	8015317
hs19	43323510	43329386
hs20	1877389	6657699
hs20	6396690	11985576
hs20	13912992	14009996
hs20	19000381	19047906
hs20	29764703	29767699
hs20	29877360	30882881
hs20	43464134	43472993
hs20	63653831	63709082
hs21	8988143	9019000
hs21	26857366	32284182
hs22	10686523	16897943
hs22	18890485	18896990
hs22	20465671	20509764
hs22	25923928	25924539
hs22	34814777	39861185
hsMT	0	16569
hsX	52510821	52523687
hsX	52861014	55652526
hsX	52861014	55652526
hsX	52861014	55652526
hsX	65694462	65737807
hsX	66340669	66390936
hsX	76986703	76998724
hsX	95942835	95977247
hsX	96071280	96746774
hsX	103453377	103460323
hsX	123130980	123288580
hsX	155803249	155987249
